,ll,acc,number_of_nodes,discretizing,sample_size,used_disc
212,-1830085.106667246,-1.0,50,random,10000,2
213,-38067.31745577284,-1.0,5,latin_cube_u,10000,2
214,-51410.4408604209,-1.0,10,latin_cube_u,10000,2
215,-1300059.5990187067,-1.0,50,latin_cube_u,10000,2
216,-37792.12466788569,-1.0,5,latin_cube_q,10000,2
217,-72317.06736026032,-1.0,10,latin_cube_q,10000,2
218,-1926250.4796683723,-1.0,50,latin_cube_q,10000,2
219,-40405.03335964059,-1.0,5,uniform,10000,2
220,-88908.73670504558,-1.0,10,uniform,10000,2
221,-2417602.413741361,-1.0,50,uniform,10000,2
222,-35550.07947883162,0.0091,5,,10000,2
223,-35550.07937464882,0.9794,10,,10000,2
224,-35550.079751917125,0.9794,50,,10000,2
225,-46417.67087500978,-1.0,5,random,10000,2
226,-103553.22471738527,-1.0,10,random,10000,2
227,-1750689.7319233636,-1.0,50,random,10000,2
228,-47813.34610930026,-1.0,5,latin_cube_u,10000,2
229,-44404.71540843733,-1.0,10,latin_cube_u,10000,2
230,-2538188.494204401,-1.0,50,latin_cube_u,10000,2
231,-49347.431584670216,-1.0,5,latin_cube_q,10000,2
232,-100845.02217993862,-1.0,10,latin_cube_q,10000,2
233,-1109855.680140531,-1.0,50,latin_cube_q,10000,2
234,-51082.77498954649,-1.0,5,uniform,10000,2
235,-72334.03976906571,-1.0,10,uniform,10000,2
236,-1246681.1447321263,-1.0,50,uniform,10000,2
237,-35650.02199679785,0.9807,5,,10000,2
238,-35650.02188454814,0.9807,10,,10000,2
239,-35650.022452884135,0.0085,50,,10000,2
240,-42290.21939113634,-1.0,5,random,10000,2
241,-68350.75202647332,-1.0,10,random,10000,2
242,-1643622.1849275234,-1.0,50,random,10000,2
243,-41941.846177495114,-1.0,5,latin_cube_u,10000,2
244,-109332.68362954004,-1.0,10,latin_cube_u,10000,2
245,-1914742.977056646,-1.0,50,latin_cube_u,10000,2
246,-42072.052487883884,-1.0,5,latin_cube_q,10000,2
247,-91481.5601874414,-1.0,10,latin_cube_q,10000,2
248,-1883788.804116253,-1.0,50,latin_cube_q,10000,2
249,-40995.39542555504,-1.0,5,uniform,10000,2
250,-65455.24263064696,-1.0,10,uniform,10000,2
251,-1746902.9740857955,-1.0,50,uniform,10000,2
252,-35795.89466031239,0.9774,5,,10000,2
253,-35795.894208126585,0.9774,10,,10000,2
254,-35795.89394847952,0.9774,50,,10000,2
255,-45675.9991713807,-1.0,5,random,10000,2
256,-108739.35847260468,-1.0,10,random,10000,2
257,-1948417.9324896252,-1.0,50,random,10000,2
258,-40583.562860687445,-1.0,5,latin_cube_u,10000,2
259,-72834.81549974528,-1.0,10,latin_cube_u,10000,2
260,-1958643.9526862137,-1.0,50,latin_cube_u,10000,2
261,-44992.449053919845,-1.0,5,latin_cube_q,10000,2
262,-83835.58760271504,-1.0,10,latin_cube_q,10000,2
263,-2143701.637813666,-1.0,50,latin_cube_q,10000,2
264,-47583.606533151826,-1.0,5,uniform,10000,2
265,-88708.98078808105,-1.0,10,uniform,10000,2
266,-1843384.4991319398,-1.0,50,uniform,10000,2
267,-35810.48406825644,0.9778,5,,10000,2
268,-35810.483775208115,0.0111,10,,10000,2
269,-35810.48404716517,0.9777,50,,10000,2
270,-40667.71392433921,-1.0,5,random,10000,2
271,-83255.02352975696,-1.0,10,random,10000,2
272,-1945422.1829708708,-1.0,50,random,10000,2
273,-41900.43927044838,-1.0,5,latin_cube_u,10000,2
274,-54205.49333438869,-1.0,10,latin_cube_u,10000,2
275,-728885.836772502,-1.0,50,latin_cube_u,10000,2
276,-48209.82361434015,-1.0,5,latin_cube_q,10000,2
277,-77155.2478043012,-1.0,10,latin_cube_q,10000,2
278,-1484049.9402233441,-1.0,50,latin_cube_q,10000,2
279,-40988.414885420985,-1.0,5,uniform,10000,2
280,-68297.08919628237,-1.0,10,uniform,10000,2
281,-2032630.6451345622,-1.0,50,uniform,10000,2
282,-35766.95279905383,0.976,5,,10000,2
283,-35766.95262802505,0.0133,10,,10000,2
284,-35766.9531427865,0.9761,50,,10000,2
285,-50102.709911083104,-1.0,5,random,10000,2
286,-82838.19604307579,-1.0,10,random,10000,2
287,-1725117.5823063303,-1.0,50,random,10000,2
288,-44423.54230259531,-1.0,5,latin_cube_u,10000,2
289,-80900.36006204973,-1.0,10,latin_cube_u,10000,2
290,-2048841.1285679352,-1.0,50,latin_cube_u,10000,2
291,-43874.357410435296,-1.0,5,latin_cube_q,10000,2
292,-112339.88566367797,-1.0,10,latin_cube_q,10000,2
293,-1600999.038552826,-1.0,50,latin_cube_q,10000,2
294,-44430.733955713025,-1.0,5,uniform,10000,2
295,-75651.29310084358,-1.0,10,uniform,10000,2
296,-1384799.9067803565,-1.0,50,uniform,10000,2
297,-35685.95976511443,0.9784,5,,10000,2
298,-35685.95975974718,0.0118,10,,10000,2
299,-35685.95962371884,0.9785,50,,10000,2
300,-44989.28147209518,-1.0,5,random,10000,2
301,-84241.08851147571,-1.0,10,random,10000,2
302,-1931495.0541471227,-1.0,50,random,10000,2
303,-44623.675544379126,-1.0,5,latin_cube_u,10000,2
304,-67860.87583549226,-1.0,10,latin_cube_u,10000,2
305,-1410181.4826072236,-1.0,50,latin_cube_u,10000,2
306,-48114.612316012615,-1.0,5,latin_cube_q,10000,2
307,-85657.94707956536,-1.0,10,latin_cube_q,10000,2
308,-1486772.7215435782,-1.0,50,latin_cube_q,10000,2
309,-39590.86959963497,-1.0,5,uniform,10000,2
310,-100378.69992451824,-1.0,10,uniform,10000,2
311,-1442824.0054397583,-1.0,50,uniform,10000,2
312,-35866.224086437775,0.011,5,,10000,2
313,-35866.22413889319,0.978,10,,10000,2
314,-35866.22517979735,0.978,50,,10000,2
315,-44072.98074514207,-1.0,5,random,10000,2
316,-81391.18382695368,-1.0,10,random,10000,2
317,-1867391.606723452,-1.0,50,random,10000,2
318,-39152.554079221336,-1.0,5,latin_cube_u,10000,2
319,-66030.24187448614,-1.0,10,latin_cube_u,10000,2
320,-2617460.7532485398,-1.0,50,latin_cube_u,10000,2
321,-41972.164600036536,-1.0,5,latin_cube_q,10000,2
322,-90717.26969784572,-1.0,10,latin_cube_q,10000,2
323,-1429309.237059999,-1.0,50,latin_cube_q,10000,2
324,-39251.48473678945,-1.0,5,uniform,10000,2
325,-86480.46948771611,-1.0,10,uniform,10000,2
326,-1699945.7681980692,-1.0,50,uniform,10000,2
327,-35919.04824330204,0.9802,5,,10000,2
328,-35919.048812923844,0.9801,10,,10000,2
329,-35919.048345270414,0.9801,50,,10000,2
330,-43197.18493118575,-1.0,5,random,10000,2
331,-84057.33388196236,-1.0,10,random,10000,2
332,-1809014.599343103,-1.0,50,random,10000,2
333,-45559.753401489026,-1.0,5,latin_cube_u,10000,2
334,-94601.86989380661,-1.0,10,latin_cube_u,10000,2
335,-1860445.0346727779,-1.0,50,latin_cube_u,10000,2
336,-39802.95104911547,-1.0,5,latin_cube_q,10000,2
337,-76840.1929280347,-1.0,10,latin_cube_q,10000,2
338,-1544033.6326957932,-1.0,50,latin_cube_q,10000,2
339,-38337.57830493656,-1.0,5,uniform,10000,2
340,-96299.47389324296,-1.0,10,uniform,10000,2
341,-1229137.4189020002,-1.0,50,uniform,10000,2
342,-35936.25372612654,0.9771,5,,10000,2
343,-35936.25325043508,0.0091,10,,10000,2
344,-35936.25363680387,0.9771,50,,10000,2
345,-43558.10671490257,-1.0,5,random,10000,2
346,-65423.84175832634,-1.0,10,random,10000,2
347,-1880469.8752066959,-1.0,50,random,10000,2
348,-52388.91357508083,-1.0,5,latin_cube_u,10000,2
349,-150164.94098199965,-1.0,10,latin_cube_u,10000,2
350,-1104427.161312563,-1.0,50,latin_cube_u,10000,2
351,-39988.42546851827,-1.0,5,latin_cube_q,10000,2
352,-80422.51982539853,-1.0,10,latin_cube_q,10000,2
353,-1921304.8323523437,-1.0,50,latin_cube_q,10000,2
354,-38526.8350073242,-1.0,5,uniform,10000,2
355,-103405.09671259364,-1.0,10,uniform,10000,2
356,-1225955.692542115,-1.0,50,uniform,10000,2
357,-35853.71700932462,0.9791,5,,10000,2
358,-35853.71662627419,0.9791,10,,10000,2
359,-35853.71676546653,0.9791,50,,10000,2
360,-45168.077352193905,-1.0,5,random,10000,2
361,-79893.25366668736,-1.0,10,random,10000,2
362,-1975902.4328657268,-1.0,50,random,10000,2
363,-47994.05886203078,-1.0,5,latin_cube_u,10000,2
364,-96485.26738067267,-1.0,10,latin_cube_u,10000,2
365,-998186.2531654472,-1.0,50,latin_cube_u,10000,2
366,-45788.41770668531,-1.0,5,latin_cube_q,10000,2
367,-92408.64760563966,-1.0,10,latin_cube_q,10000,2
368,-1709245.7467771678,-1.0,50,latin_cube_q,10000,2
369,-43682.7576317752,-1.0,5,uniform,10000,2
370,-67839.66268604201,-1.0,10,uniform,10000,2
371,-1523743.3318183874,-1.0,50,uniform,10000,2
372,-35905.10670659678,0.9773,5,,10000,2
373,-35905.1076352688,0.9773,10,,10000,2
374,-38982.70630465157,0.1169,50,,10000,2
375,-45414.118907310214,-1.0,5,random,10000,2
376,-122462.51901546802,-1.0,10,random,10000,2
377,-1725081.821452539,-1.0,50,random,10000,2
378,-37724.668970161285,-1.0,5,latin_cube_u,10000,2
379,-63648.90292569287,-1.0,10,latin_cube_u,10000,2
380,-2674112.7736477843,-1.0,50,latin_cube_u,10000,2
381,-44556.82688769072,-1.0,5,latin_cube_q,10000,2
382,-87114.68153454798,-1.0,10,latin_cube_q,10000,2
383,-1711378.5900429287,-1.0,50,latin_cube_q,10000,2
384,-40561.109245752,-1.0,5,uniform,10000,2
385,-71434.10464203572,-1.0,10,uniform,10000,2
386,-2501560.484861573,-1.0,50,uniform,10000,2
387,-35798.73543427425,0.9788,5,,10000,2
388,-35798.735272015605,0.9788,10,,10000,2
389,-35798.73520629903,0.9788,50,,10000,2
390,-40881.22788176018,-1.0,5,random,10000,2
391,-110280.81022339656,-1.0,10,random,10000,2
392,-1711471.0193156013,-1.0,50,random,10000,2
393,-42857.811851286475,-1.0,5,latin_cube_u,10000,2
